objectID,longitude,latitude,location,waterfront,signname,borough,acres
6,40.76013727,-73.96245931,"E. 59 St., between 1 Ave. and 2 Ave.",N,14 Honey Locusts Park,Manhattan,0.295
11,40.7917536,-73.94547038,E. 105 St. To E. 106 St. between Lexington Ave. and 3 Ave.,N,White Playground,Manhattan,0.684
12,40.76107926,-73.9927469,W. 45 St. Between 9 Ave. and 10 Ave.,N,Matthews - Palmer Playground,Manhattan,0.475
13,40.81015473,-73.94033556,"5 Ave., W. 130 St. To .W 131 St.",N,Courtney Callender Playground,Manhattan,0.653
15,40.83805813,-73.93869677,"W. 165 St., Amsterdam Ave. To Audubon Ave.",N,Mckenna Square,Manhattan,0.24
19,40.74876765,-73.96784736,E. 42 St. between 1 Ave. and FDR,N,Playground,Manhattan,1.369
20,40.83027386,-73.94134871,Corner of W. 155 St. and St. Nicholas Ave.,N, ,Manhattan,0.161
27,40.76168293,-73.97066055,E 46 St To E 59 St & Park Av,N,Park Avenue Malls,Manhattan,0.65
28,40.74713978,-73.98126898,E 34 St To E 39 St & Park Av,N,Park Avenue Malls,Manhattan,1.58
29,40.84326347,-73.94380015,"E/s Riverside Dr, W 168 St To W 177 St",N,Strip,Manhattan,1.494
30,40.72185681,-73.98567581,"Essex St., Norfolk St. and Houston St.",N,ABC Playground,Manhattan,0.451
31,40.79726382,-73.92948917,E. 120 St. and Paladino Ave. (Service Rd To FDR Dr.),N,Strip,Manhattan,0.188
32,40.79870489,-73.92910624,"E. 122 St. To E. 125 St., FDR Dr. To Harlem River Dr.",N,Park,Manhattan,5.2
33,40.76383486,-73.97359448,"5 Av, W 58 St To W 59 St",N,Grand Army Plaza,Manhattan,0.625
35,40.80130019,-73.93049124,"E.125 St., FDR Dr., 1 Ave., Paladino Ave.",N,Louis Cuvillier Park,Manhattan,2.752
36,40.81262386,-73.93920593,"W. 134 St., Lenox Terrace Pl.",N,Hansborough Recreation Center,Manhattan,0.29
37,40.71219812,-73.98810282,Madison St. between Clinton St. and Rutgers St.,N,Little Flower Playground,Manhattan,1.294
38,40.82535683,-73.93708261,"W. 150 St., W/s 7 Ave.",N,Bill Bojangles Robinson Playground,Manhattan,0.172
39,40.8252052,-73.9346646,"Harlem River Dr., W. 151 St. To W. 154 St.",N,Harlem Lane Playground,Manhattan,1.635
76,40.85654746,-73.9361823,Cabrini Blvd. between W. 187 St. and W. 190 St.,N,P.s./I.S. 187,Manhattan,0.887
77,40.8018889,-73.95596012,W. 112 St. between Adam C. Powell Blvd. and Frederick Douglas Blvd.,N,P.S. 241,Manhattan,0.665
78,40.79814287,-73.94917145,W. 111 St. between 5 Ave. and Lenox Ave.,No,P.S. 185,Manhattan,0.601
99,40.85041566,-73.93388834,Wadsworth Ave. between W. 183 St. and W. 182 St.,No,P.S. 132,Manhattan,0.108
100,40.79883105,-73.95026096,W. 111 St. between 5 Ave. and Lenox Ave.,No,P.S. 208,Manhattan,0.869
110,40.80697268,-73.95171702,W. 120 St. between Adam C. Powell Blvd. and St. Nicholas Ave.,No,P.S. 76,Manhattan,0.428
115,40.71733297,-74.01343763,West St. between Warren St. and Chambers St.,No,I.S./P.S. 89,Manhattan,0.236
116,40.85953958,-73.92783436,Ellwood St. between Hillside Ave. and Nagle Ave.,No,P.S. 152,Manhattan,0.027
117,40.80758532,-73.955123,"Manhattan Ave., Morningside Ave., W. 119 St., and W. 120 St.",No,P.S. 242,Manhattan,0.719
124,40.85938133,-73.92244112,"Harlem River Drive, Dyckman St. and 10 Ave.",No,P.S. 5,Manhattan,0.406
125,40.85303228,-73.93358055,Broadway between W. 185 St. and W. 187 St.,No,P.S. 48,Manhattan,0.78
144,40.70591428,-74.00382704,"Front St, John St, & South St",N,Imagination Playground,Manhattan,0.385
189,40.70746263,-74.00115016,Peck Slip between South St. and Front St.,N,Peck Slip,Manhattan,0.187
201,40.72420487,-73.97821139,E. 7 St. bet. Ave. C and Ave. D,N,Urban Botanical/Sam and Sadie Koenig Garden,Manhattan,0.029
202,40.72433153,-73.97776205,E 8th St Btwn Av C and Av D,N,Firemen's Memorial Garden,Manhattan,0.169
203,40.72400365,-73.97698289,E 8th St Btwn Av C and Av D,N,Green Oasis and Gilbert's Grd,Manhattan,0.388
204,40.72219526,-73.98406015,E. 2 St. bet. Ave. A and Ave. B,N,Hope Garden,Manhattan,0.046
205,40.71945156,-73.98167457,"E Houston St, Stanton St, Sheriff St, Pitt St",N,Hamilton Fish Park,Manhattan,4.3
206,40.72056777,-73.98024719,"E Houston St, Av C and E 2 St",N,GustAv Hartman Sq,Manhattan,0.095
207,40.72119552,-73.98169432,247 E 2nd St,N,Allied Productions/le Petit Versailles,Manhattan,0.034
241,40.75630883,-73.9651018,E. 54 St. between 1 Ave. and 2 Ave.,N,Recreation Center 54,Manhattan,0.17
253,40.71349251,-73.9896602,Rutgers St. and Henry St.,N,Captain Jacob Joseph Playground,Manhattan,0.135
254,40.72273833,-73.98739691,"E. 1 St., E. Houston St., 1 Ave. & Allen St.",N,Peretz Square,Manhattan,0.192
255,40.72401753,-73.99041787,"Houston St., E. 1 St., 1 Ave.",N,First Park,Manhattan,0.763
256,40.73023996,-74.00154713,S/e Corner Minetta Lane & Ave. of Americas,N,Minetta Green,Manhattan,0.056
257,40.73069711,-74.00115975,"Minetta Lane, W. 3 St. and Ave. of Americas",N,Minetta Playground,Manhattan,0.206
258,40.72974587,-74.0019857,N/e Corner Ave. of Americas & Minetta St.,N,Minetta Triangle,Manhattan,0.075
259,40.72705656,-74.00356751,"Ave. of Americas, King St. and Charlton St.",N,Charlton Plaza,Manhattan,0.039
260,40.83222617,-73.94028373,"Edgecombe Ave., W. 157 St.",N,Bushman Steps,Manhattan,0.08
263,40.7807968,-73.94439203,E. 93 St. and FDR Dr.,N,Park,Manhattan,0.034
264,40.72811989,-73.97937993,E. 12 St. Between Ave. A and Ave. B,N,Joseph C. Sauer Park,Manhattan,0.403
265,40.72808246,-73.9791371,S/w Corner of E. 12 St. At Ave. B,N,Children's Garden,Manhattan,0.037
266,40.72849671,-74.00187141,"W. Houston St., Ave. of Americas, Macdougal St.",N,William F. Passannante Ballfield,Manhattan,0.607
267,40.72792104,-74.00262535,"S/s W. Houston St., Ave. of Americas",N,Playground of the Americas,Manhattan,0.079
270,40.78252993,-73.94446794,"FDR Dr., E. 95 St. To E. 97 St.",N,Stanley Isaacs Playground,Manhattan,1.227
271,40.7787276,-73.94363369,"E. 90 St., York Ave., FDR Dr.",N,Asphalt Green,Manhattan,4.35
273,40.80153895,-73.93158051,"1 Ave. To 2 Ave., E. 124 St. To E. 126 St.",N,Triboro Plaza,Manhattan,2.3
274,40.78737532,-73.93879154,FDR Dr. between E. 102 St. and E. 106 St.,N,Playground 103 CIII,Manhattan,1.052
275,40.7527209,-73.96439338,"E. 49 St. To E. 51 St., W/s FDR Dr.",N,Peter Detmold Park,Manhattan,1.339
276,40.75690507,-73.95995783,E. River Between E. 56 St. and E. 57 St.,Y,Sutton Place Park,Manhattan,0.3
277,40.75537268,-73.96172236,"E. 53 St. to E. 54 St. at Sutton Pl.; Foot of E. 55 St., E. 56 St., E. 57 St.",Y,Five Parks,Manhattan,1.104
278,40.75960194,-73.95827002,"FDR Dr., E. 60 St. To E. 61 St. and York Ave.",N,Twenty-Four Sycamores Park,Manhattan,0.622
279,40.76044611,-73.95637192,E. River Between E. 59 St. and E. 63 St.,Y,E 60th St Heliport,Manhattan,1.984
284,40.78487517,-73.9828087,"Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.",Y,Riverside Park,Manhattan,266.791
286,40.80146854,-73.93163164,E 124 St Bet 1 and 2 Avs,N,Wagner Houses Pool,Manhattan,0.808
299,40.73455912,-73.99001943,"Broadway To 4 Ave., E 14 St. To E 17 St.",N,Union Square Park,Manhattan,6.51
300,40.73934701,-73.97823637,"E. 26 St. To E. 28 St., 2 Ave.",N,Bellevue South Park,Manhattan,1.593
302,40.75223499,-73.96492706,"E. 48 St. To E. 49 St., FDR",N,MacArthur Park,Manhattan,0.329
307,40.82150065,-73.95876131,Henry Hudson Pkwy betw. St. Clair Pl. and W. 135 St.,Y,West Harlem Piers,Manhattan,4.712
315,40.74176941,-73.97826651,"N/s E. 29 St., W/s 2 Ave.",N,Vincent F. Albano Jr. Playground,Manhattan,0.346
316,40.81553449,-73.93732949,"W. 138 St., Between Lenox Ave. and 5 Ave.",N,William McCray Playground,Manhattan,0.456
317,40.79692281,-73.94157178,E. 115 St. Between 3 Ave. and Lexington Ave.,N,James Weldon Johnson Playground,Manhattan,1.303
320,40.7528939,-73.96978158,E. 47 St. between 1 Ave. and 2 Ave.,N,Dag Hammarskjold Plaza,Manhattan,1.59
321,40.84803579,-73.92967132,"Amsterdam Av, W 182 St Laurel Hill Terrace",N, ,Manhattan,0.067
328,40.71998286,-73.99218979,E. Houston St. To Canal St. Between Chrystie St. and Forsyth St.,N,Sara D. Roosevelt Park,Manhattan,7.85
329,40.73573351,-73.9752091,"E. 23 St. To E. 25 St., FDR Drive",N,Asser Levy Playground,Manhattan,1.837
330,40.70986335,-73.99601103,"Cherry St. To Water St., W. Catherine Slip To Market Slip",N,Tanahey Playground,Manhattan,1.254
331,40.78000671,-73.98784987,Riverside Drive Between 65 St. and 72 St.,Y,Riverside Park South,Manhattan,34.675
332,40.73090253,-74.00092286,"Ave. Of Americas, W. 3 St. and W. 4 St.",N,West 4th Street Courts,Manhattan,0.42
333,40.74859984,-73.96967801,"1 Ave., E. 41 St. To E. 42 St.",N,Robert Moses Playground,Manhattan,1.344
348,40.72923343,-73.99143693,Lafayette St bet Astor Pl & E 4 St,N,The Public Theater,Manhattan,0.909
349,40.72757234,-73.99236371,E 4th St Btwn Bowery and Lafayette,N,Mercahnt's House Museum,Manhattan,0.072
350,40.72136642,-73.97820327,E. 4 St. bet. Ave. C and Ave. D,N,Orchard Alley Garden,Manhattan,0.224
369,40.8313911,-73.94052064,"W 155 St & Dyckman St, Edgecombe Av & Amsterdam Av",Y,Highbridge Park,Manhattan,118.753
377,40.73013812,-74.00672402,"Hudson St, St Luke's Pl, Clarkson St, 7 Av",N,James J Walker Park,Manhattan,1.67
378,40.84549905,-73.9405987,"Ft Washington Av & HAvn Ave, W 173 St to W 176 St",N,J Hood Wright Park,Manhattan,6.699
379,40.7424407,-73.98901996,"Broadway, 5 Ave., W. 24 St. to W. 25 St.",N,Worth Square,Manhattan,0.076
381,40.82268872,-73.93969486,W 146 St bet Fredrick Douglass & Adam Clayton Powell Blvd,N,Bradhurst Urban Renewal Park,Manhattan,0.436
388,40.84745053,-73.94288175,"E/s Riverside Dr., Haven Ave., W. 176 St. To W. 178 St.",N,Haven Avenue,Manhattan,1.38
389,40.75882973,-73.98509028,"Broadway, W. 46 St. To W. 47 St., 7 Ave.",N,Father Duffy Square,Manhattan,0.076
390,40.8315133,-73.94670396,"Broadway, W. 135 St. To W. 156 St.",N,Broadway Malls,Manhattan,2.198
391,40.83846674,-73.94162339,"Broadway, W 156 St To W 168 St",N,Broadway Malls,Manhattan,1.139
393,40.77889681,-73.98163281,"Broadway, Amsterdam Ave. and W. 73 St.",N,Verdi Square,Manhattan,0.055
394,40.71426208,-73.98882966,"Canal St, Essex St, Jefferson St & E Broadway",N,Seward Park,Manhattan,3.046
395,40.80159985,-73.96812313,"Broadway, W. 106 St., W. End Ave.",N,Straus Park,Manhattan,0.072
396,40.73387465,-73.9828475,"Rutherford Pl. To N D Perlman Pl., E 15 St. To E 17 St.",N,Stuyvesant Square,Manhattan,3.928
397,40.8123937,-73.96215821,"Riverside Dr., Claremont Ave. To W. 122 St.",N,Sakura Park,Manhattan,2.067
398,40.72518209,-73.98125645,"Ave. A To Ave. B, E. 7 St. To E. 10 St.",N,Tompkins Square Park,Manhattan,10.502
399,40.80357444,-73.95803902,"Manhattan Av, W 114 St, Morningside Av",N,Lafayette Square,Manhattan,0.018
417,40.80068232,-73.92899683,"FDR Drive, E 96 St. To E 125 St.",Y,East River Esplanade,Manhattan,8.595
418,40.76218346,-73.95443202,"FDR Drive, E 63 St. To E 81 St.",Y,East River Walk,Manhattan,3.089
438,40.77687636,-73.94274131,"East End Av To East River, E 84 St To E 90 St",Y,Carl Schurz Park,Manhattan,14.938
445,40.72498231,-74.00263966,Thompson St bet Spring St & Prince St,N,Vesuvio Playground,Manhattan,0.635
447,40.75879964,-73.95982613,"West of York Ave., E 59 St. To E 60 St.",N,Queensboro Oval,Manhattan,1.239
448,40.83415019,-73.93831668,"Jumel Terr To Edgecombe Av, W 160 St To W 162 St",N,Roger Morris Park,Manhattan,1.524
449,40.74458615,-73.97312916,"1 Ave. To 2 Ave., E. 35 St. To E. 36 St.",N,St. Vartan Park,Manhattan,2.759
450,40.81328726,-73.95043743,"St Nicholas Av To St Nicholas Terr, W 128 St To W 141 St",N,St Nicholas Park,Manhattan,22.74
451,40.76474824,-73.95841958,"1 Ave., E. 67 St. To E. 68 St.",N,St Catherine's Park,Manhattan,1.383
452,40.80026634,-73.95773461,"5 Av To Central Park W, 59 St To 110 St",N,Central Park,Manhattan,840.01
453,40.77095009,-73.98867251,"W 59 St To W 60 St, Amsterdam Av To W End Av",N,Recreation Center 59,Manhattan,0.69
454,40.71237532,-73.98441469,"Cherry St, Montgomery St & Gouverneur St",N,Lillian D Wald Playground,Manhattan,0.68
455,40.71546864,-73.98121799,"Columbia St, Delancey St & Bialystoker Pl",N,Luther Gulick Playground,Manhattan,1.451
456,40.7413448,-74.00197756,"W. 17 St., 8 Ave. To 9 Ave.",N,Dr. Gertrude B. Kelly Playground,Manhattan,0.525
457,40.71360532,-73.99442125,"Henry St., Market St., E. Broadway",N,Sophie Irene Loeb,Manhattan,0.122
480,40.83889347,-73.93566252,"Edgecombe Ave., W. 167 St., and Jumel Pl.",N,Mirabal Sisters Community Park,Manhattan,0.76
502,40.84163584,-73.93767304,"Audubon Av, W 169 and W 170 Sts",N,Audubon Playground,Manhattan,0.656
533,40.74275844,-73.98677782,"Broadway To Madison Av, E 23 St To E 26 St",N,Madison Square Park,Manhattan,6.234
534,40.77967203,-73.97361916,"Central Park W, Columbus Av, W 77 To W 81 Sts",N,Theodore Roosevelt Park,Manhattan,17.574
535,40.8396894,-73.93998721,"Broadway, St Nicholas Av, W 166 St To W 168 St",N,Mitchel Square,Manhattan,0.774
536,40.80298749,-73.95845556,"W 110 St To W 123 St, Manhattan Av To Morningside Av",N,Morningside Park,Manhattan,29.888
537,40.80390728,-73.94591165,"Madison Ave, E. 120 St. to E. 124 St.",N,Marcus Garvey Park,Manhattan,20.165
538,40.7296677,-73.97245222,"Ave. C, FDR Dr., E. 17 St.",N,Murphy's Brother's Playground,Manhattan,1.275
555,40.82760315,-73.9519443,"Riverside Dr to Henry Hudson Pkwy, W 153 St",N,Riverside Park,Manhattan,26.45
556,40.71743817,-74.01088085,"Chambers, Greenwich, W Street",N,Washington Market Park,Manhattan,1.61
557,40.71632573,-74.01217155,Warren St Bet Greenwich St and W St,N,Tribeca Dog Run,Manhattan,0.096
558,40.83358404,-73.94977793,"W. 145 St., W. 155 St., Hudson River",Y,Recreational Area,Manhattan,23.3
559,40.82122637,-73.95395232,"Broadway, Hamilton Pl., W. 138 St.",N,Montefiore Square,Manhattan,0.34
560,40.77337874,-73.98194017,"Broadway To Columbus Ave, W. 66 St.",N,Richard Tucker Square,Manhattan,0.051
562,40.70927048,-74.00507859,Fulton St bet Ryders Alley & Gold St,N,Delury Square Park,Manhattan,0.209
569,40.78793225,-73.94378583,E. 102 St. bet. 2 Ave and 1 Ave,N,Blake Hobbs Playground,Manhattan,0
570,40.78677183,-73.94339642,E 100 St to E 101 St bet 2 Av & 1 Av,N,Harlem RBI,Manhattan,0.9
571,40.81553868,-73.93384281,"W 155 St, 10 Av & Harlem River",Y,Harlem River Park,Manhattan,35.482
572,40.85586682,-73.92209574,10 Ave. bet. Academy St. and the  Harlem,Y,Sherman Creek,Manhattan,15.06
573,40.85113346,-73.94444234,"Riverside Dr., Hudson River, W. 155 St. to W. 179 St.",Y,Fort Washington Park,Manhattan,159.992
574,40.86998715,-73.92093487,"Dyckman St, Hudson River, Harlem River S",Y,Inwood Hill Park,Manhattan,196.398
575,40.87205127,-73.91987772,"Broadway, Isham St, Inwood Pk",N,Isham Park,Manhattan,20.095
576,40.79229418,-73.93489023,"1 Ave To FDR Dr., E 111 St. To E 114 St.",N,Thomas Jefferson Park,Manhattan,15.524
577,40.79297143,-73.97686614,"Riverside Dr., W. 91 St. To W. 95 St.",N,Joan Of Arc Park,Manhattan,1.578
584,40.73881066,-74.00257386,"8 Ave. To Greenwich Ave., Horatio St.",N,Jackson Square,Manhattan,0.227
585,40.7690091,-73.94903734,"FDR Dr., E 76 St. To E 78 St.",N,John Jay Park,Manhattan,3.312
604,40.82407948,-73.94866813,"Amsterdam Av, W 143 St & Hamilton Pl",N,Johnny Hartman Square,Manhattan,0.001
605,40.82313184,-73.95070623,"Hamilton Pl., W. 140 St. To W. 141 St.",N,Alexander Hamilton Playground,Manhattan,0.811
621,40.80968275,-73.95326774,"St Nicholas Av, Manhattan Av, W 123 St",N,Hancock Park,Manhattan,0.067
622,40.8269331,-73.9354759,"7 Ave., Macombs Pl., At W. 153 St.",N,Colonel Charles Young Triangle,Manhattan,0.882
623,40.7499045,-73.98781633,"Broadway, Av Of Americas, bet W 34 St & W 35 St",N,Herald Square,Manhattan,0.21
626,40.85972021,-73.93135506,"Riverside Dr To Broadway, W 192 St To Dyckman St",N,Fort Tryon Park,Manhattan,66.627
627,40.85581256,-73.93171715,"Broadway To Wadsworth Terr, W 189 St To W 190 St",N,Gorman Park,Manhattan,1.89
628,40.74840364,-73.98827506,"Broadway, Av Of Americas, bet W 32 St & W 33 St",N,Greeley Square Park,Manhattan,0.144
631,40.71079331,-73.99316195,"Cherry St, Pike St, Monroe St",N,Coleman Playground,Manhattan,2.61
632,40.8269191,-73.94283755,"St Nicholas Av, W 150 St To St Nicholas Av",N,Donnellan Square,Manhattan,0.038
633,40.71705514,-74.00926104,"Hudson St., Duane St.",N,Duane Park,Manhattan,0.115
634,40.86718369,-73.9230532,Broadway and W. 204 St.,N,Dyckman House Museum,Manhattan,0.545
639,40.73009067,-74.00292996,"Downing St to Carmine St, Av Of Americas",N,Downing Street Playground,Manhattan,0.223
659,40.76727281,-73.99383727,"W. 52 St. To W. 54 St., 11 Ave. To 12 Ave.",N,De Witt Clinton Park,Manhattan,5.829
660,40.81802704,-73.94740229,"W 136 St To W 137 St, St Nicholas Av, Edgecom Av",N,Dorrence Brook Square,Manhattan,0.038
687,40.72026745,-74.00563914,W Broadway and Beach St,N,Beach Street Park,Manhattan,0.04
688,40.71471132,-73.98365299,"Grand St, E Broadway & Willet St",N,Ahearn Park,Manhattan,0.094
713,40.82885247,-73.94423739,"Amsterdam Av, W 151 St To W 152 St",N,Carmansville Playground,Manhattan,0.573
714,40.77160234,-73.98243757,"Broadway, Columbus Av, W 63 St",N,Dante Park,Manhattan,0.142
715,40.71108804,-73.98030414,"Jackson St, Cherry St, FDR Drive",N,Corlears Hook Park,Manhattan,4.355
728,40.80366735,-73.95250304,"7 Av, St Nicholas Av, W 117 St",N,A Philip Randolph Square,Manhattan,0.074
735,40.78837266,-73.97641536,"Broadway, Columbus Circle To W 110 St",N,Broadway Malls,Manhattan,5.605
736,40.85223815,-73.93793,"Ft Washington Av, W 183 St, Pinehurst Av",N,Bennett Park,Manhattan,1.8
737,40.75069829,-74.00177474,"9 Av To 10 Av, W 27 St To W 28 St",N,Chelsea Park,Manhattan,3.9
738,40.73344595,-74.00253688,"Christopher St, Grove St, W 4 St",N,Christopher Park,Manhattan,0.146
739,40.71176985,-74.00749079,"Broadway, Park Row and Chambers St",N,City Hall Park,Manhattan,8.8
740,40.82824916,-73.93941095,"Bradhurst Av & Edgecombe Av, W 145 St To",N,Jackie Robinson Park,Manhattan,12.772
741,40.7151812,-73.99974545,"Baxter St, Mulberry St, Bayard St & Park",N,Columbus Park,Manhattan,3.233
742,40.7284764,-73.99089147,"3 Av To 4 Av, E 6 St To E 7 St",N,Cooper Triangle,Manhattan,0.229
751,40.73708349,-74.00558016,"Hudson St, 8 Av, W 12 St",N,Abingdon Square,Manhattan,0.222
752,40.75342578,-73.98110626,"Between 5 and 6 Av, W 40 St & W 42 St",N,Bryant Park,Manhattan,9.603
753,40.81782527,-73.95197554,"Convent and Amsterdam Av, W 135 St",N,Annunciation Park,Manhattan,1.24
754,40.72053601,-73.98966071,"E Houston St, E Broadway",N,Allen Mall One,Manhattan,2.58
783,40.71874901,-74.01668557,"Hudson River, Liberty St and Pier A",Y,Battery Park city,Manhattan,0
791,40.72569074,-74.01078297,Canal St Bet W St and Washington St,N,Canal Park,Manhattan,0.669
792,40.71179725,-74.01594766,Hudson River S/o Liberty St,Y,Battery Park City,Manhattan,1.556
798,40.71114575,-74.00048991,"Pearl St, Madison St and St James Pl",N,James Madison Plaza,Manhattan,0.361
802,40.78052438,-73.94995409,Second Av B/w E 90 and E 91 Sts,N,Ruppert Park,Manhattan,0.997
803,40.78500684,-73.95074138,"Lexington Av, E 95 To E 96 Sts",N,Samuel Seabury Playground,Manhattan,0.786
804,40.78886911,-73.93617389,Fdr Drive and 107th Street,Y,Pier 107 CVII,Manhattan,0.356
807,40.79145892,-73.93937634,335 E 108th St Bet 1st and 2nd Av,N,Humacao Community Garden,Manhattan,0.11
808,40.79208088,-73.94016111,E 109th St Bet 1st and 2nd Avs,N,Neighbors Of Vega Baja,Manhattan,0.072
810,40.79649336,-73.94724523,1659 Madison Av,N,M384,Manhattan,0.054
811,40.79923127,-73.94416362,E/ 115th St bet Park and Madison Avs,N,La Cuevita Garden,Manhattan,0.057
812,40.76070499,-73.96443525,W/s Second Av Bet E 59-60 Sts,N,Tramway Plaza,Manhattan,0.345
813,40.7952238,-73.94366594,156 E 111th St Bet Lex and 3rd Av,N,Family Community Garden,Manhattan,0.04
